Team,PredictedRank,Season
Chelsea,1,2014/2015
Arsenal,2,2014/2015
Man City,3,2014/2015
Man United,4,2014/2015
Tottenham,5,2014/2015
Liverpool,6,2014/2015
Swansea,7,2014/2015
Southampton,8,2014/2015
Stoke,9,2014/2015
Everton,10,2014/2015
West Brom,11,2014/2015
West Ham,12,2014/2015
Crystal Palace,13,2014/2015
Newcastle,14,2014/2015
Leicester,15,2014/2015
Sunderland,16,2014/2015
Hull,17,2014/2015
Aston Villa,18,2014/2015
Burnley,19,2014/2015
QPR,20,2014/2015
Leicester,1,2015/2016
Tottenham,2,2015/2016
Arsenal,3,2015/2016
Man City,4,2015/2016
West Ham,5,2015/2016
Man United,6,2015/2016
Liverpool,7,2015/2016
Southampton,8,2015/2016
Chelsea,9,2015/2016
Stoke,10,2015/2016
Swansea,11,2015/2016
West Brom,12,2015/2016
Crystal Palace,13,2015/2016
Everton,14,2015/2016
Watford,15,2015/2016
Sunderland,16,2015/2016
Bournemouth,17,2015/2016
Norwich,18,2015/2016
Newcastle,19,2015/2016
Aston Villa,20,2015/2016
Chelsea,1,2016/2017
Man City,2,2016/2017
Tottenham,3,2016/2017
Liverpool,4,2016/2017
Arsenal,5,2016/2017
Everton,6,2016/2017
Man United,7,2016/2017
Southampton,8,2016/2017
Leicester,9,2016/2017
Bournemouth,10,2016/2017
West Ham,11,2016/2017
West Brom,12,2016/2017
Stoke,13,2016/2017
Crystal Palace,14,2016/2017
Watford,15,2016/2017
Burnley,16,2016/2017
Swansea,17,2016/2017
Hull,18,2016/2017
Middlesbrough,19,2016/2017
Sunderland,20,2016/2017
Man City,1,2017/2018
Tottenham,2,2017/2018
Man United,3,2017/2018
Liverpool,4,2017/2018
Chelsea,5,2017/2018
Arsenal,6,2017/2018
Burnley,7,2017/2018
Everton,8,2017/2018
Leicester,9,2017/2018
Newcastle,10,2017/2018
Crystal Palace,11,2017/2018
Bournemouth,12,2017/2018
Brighton,13,2017/2018
Watford,14,2017/2018
Southampton,15,2017/2018
West Ham,16,2017/2018
Huddersfield,17,2017/2018
Swansea,18,2017/2018
Stoke,19,2017/2018
West Brom,20,2017/2018
Liverpool,1,2018/2019
Man City,2,2018/2019
Chelsea,3,2018/2019
Tottenham,4,2018/2019
Arsenal,5,2018/2019
Man United,6,2018/2019
West Ham,7,2018/2019
Leicester,8,2018/2019
Wolves,9,2018/2019
Everton,10,2018/2019
Newcastle,11,2018/2019
Watford,12,2018/2019
Bournemouth,13,2018/2019
Crystal Palace,14,2018/2019
Burnley,15,2018/2019
Southampton,16,2018/2019
Cardiff,17,2018/2019
Brighton,18,2018/2019
Fulham,19,2018/2019
Huddersfield,20,2018/2019
Liverpool,1,2019/2020
Man City,2,2019/2020
Leicester,3,2019/2020
Man United,4,2019/2020
Chelsea,5,2019/2020
Tottenham,6,2019/2020
Wolves,7,2019/2020
Sheffield United,8,2019/2020
Newcastle,9,2019/2020
Burnley,10,2019/2020
Arsenal,11,2019/2020
Crystal Palace,12,2019/2020
Everton,13,2019/2020
Southampton,14,2019/2020
Brighton,15,2019/2020
Watford,16,2019/2020
West Ham,17,2019/2020
Bournemouth,18,2019/2020
Aston Villa,19,2019/2020
Norwich,20,2019/2020
Man City,1,2020/2021
Liverpool,2,2020/2021
Man United,3,2020/2021
Tottenham,4,2020/2021
West Ham,5,2020/2021
Chelsea,6,2020/2021
Everton,7,2020/2021
Arsenal,8,2020/2021
Leicester,9,2020/2021
Wolves,10,2020/2021
Aston Villa,11,2020/2021
Southampton,12,2020/2021
Leeds,13,2020/2021
Newcastle,14,2020/2021
Brighton,15,2020/2021
Burnley,16,2020/2021
Crystal Palace,17,2020/2021
Sheffield United,18,2020/2021
Fulham,19,2020/2021
West Brom,20,2020/2021
Bournemouth,21,2020/2021
Watford,22,2020/2021
Norwich,23,2020/2021
Man City,1,2021/2022
Liverpool,2,2021/2022
Tottenham,3,2021/2022
Arsenal,4,2021/2022
Chelsea,5,2021/2022
Man United,6,2021/2022
Leicester,7,2021/2022
West Ham,8,2021/2022
Brighton,9,2021/2022
Newcastle,10,2021/2022
Aston Villa,11,2021/2022
Brentford,12,2021/2022
Crystal Palace,13,2021/2022
Wolves,14,2021/2022
Everton,15,2021/2022
Southampton,16,2021/2022
Leeds,17,2021/2022
Burnley,18,2021/2022
Watford,19,2021/2022
Norwich,20,2021/2022
