,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Season
0,2014-08-16,Arsenal,Crystal Palace,2.0,1.0,H,2014/2015
1,2014-08-16,Leicester,Everton,2.0,2.0,D,2014/2015
2,2014-08-16,Man United,Swansea,1.0,2.0,A,2014/2015
3,2014-08-16,QPR,Hull,0.0,1.0,A,2014/2015
4,2014-08-16,Stoke,Aston Villa,0.0,1.0,A,2014/2015
5,2014-08-16,West Brom,Sunderland,2.0,2.0,D,2014/2015
6,2014-08-16,West Ham,Tottenham,0.0,1.0,A,2014/2015
7,2014-08-17,Liverpool,Southampton,2.0,1.0,H,2014/2015
8,2014-08-17,Newcastle,Man City,0.0,2.0,A,2014/2015
9,2014-08-18,Burnley,Chelsea,1.0,3.0,A,2014/2015
10,2014-08-23,Aston Villa,Newcastle,0.0,0.0,D,2014/2015
11,2014-08-23,Chelsea,Leicester,2.0,0.0,H,2014/2015
12,2014-08-23,Crystal Palace,West Ham,1.0,3.0,A,2014/2015
13,2014-08-23,Everton,Arsenal,2.0,2.0,D,2014/2015
14,2014-08-23,Southampton,West Brom,0.0,0.0,D,2014/2015
15,2014-08-23,Swansea,Burnley,1.0,0.0,H,2014/2015
16,2014-08-24,Hull,Stoke,1.0,1.0,D,2014/2015
17,2014-08-24,Sunderland,Man United,1.0,1.0,D,2014/2015
18,2014-08-24,Tottenham,QPR,4.0,0.0,H,2014/2015
19,2014-08-25,Man City,Liverpool,3.0,1.0,H,2014/2015
20,2014-08-30,Burnley,Man United,0.0,0.0,D,2014/2015
21,2014-08-30,Everton,Chelsea,3.0,6.0,A,2014/2015
22,2014-08-30,Man City,Stoke,0.0,1.0,A,2014/2015
23,2014-08-30,Newcastle,Crystal Palace,3.0,3.0,D,2014/2015
24,2014-08-30,QPR,Sunderland,1.0,0.0,H,2014/2015
25,2014-08-30,Swansea,West Brom,3.0,0.0,H,2014/2015
26,2014-08-30,West Ham,Southampton,1.0,3.0,A,2014/2015
27,2014-08-31,Aston Villa,Hull,2.0,1.0,H,2014/2015
28,2014-08-31,Leicester,Arsenal,1.0,1.0,D,2014/2015
29,2014-08-31,Tottenham,Liverpool,0.0,3.0,A,2014/2015
30,2014-09-13,Arsenal,Man City,2.0,2.0,D,2014/2015
31,2014-09-13,Chelsea,Swansea,4.0,2.0,H,2014/2015
32,2014-09-13,Crystal Palace,Burnley,0.0,0.0,D,2014/2015
33,2014-09-13,Liverpool,Aston Villa,0.0,1.0,A,2014/2015
34,2014-09-13,Southampton,Newcastle,4.0,0.0,H,2014/2015
35,2014-09-13,Stoke,Leicester,0.0,1.0,A,2014/2015
36,2014-09-13,Sunderland,Tottenham,2.0,2.0,D,2014/2015
37,2014-09-13,West Brom,Everton,0.0,2.0,A,2014/2015
38,2014-09-14,Man United,QPR,4.0,0.0,H,2014/2015
39,2014-09-15,Hull,West Ham,2.0,2.0,D,2014/2015
40,2014-09-20,Aston Villa,Arsenal,0.0,3.0,A,2014/2015
41,2014-09-20,Burnley,Sunderland,0.0,0.0,D,2014/2015
42,2014-09-20,Newcastle,Hull,2.0,2.0,D,2014/2015
43,2014-09-20,QPR,Stoke,2.0,2.0,D,2014/2015
44,2014-09-20,Swansea,Southampton,0.0,1.0,A,2014/2015
45,2014-09-20,West Ham,Liverpool,3.0,1.0,H,2014/2015
46,2014-09-21,Everton,Crystal Palace,2.0,3.0,A,2014/2015
47,2014-09-21,Leicester,Man United,5.0,3.0,H,2014/2015
48,2014-09-21,Man City,Chelsea,1.0,1.0,D,2014/2015
49,2014-09-21,Tottenham,West Brom,0.0,1.0,A,2014/2015
50,2014-09-27,Arsenal,Tottenham,1.0,1.0,D,2014/2015
51,2014-09-27,Chelsea,Aston Villa,3.0,0.0,H,2014/2015
52,2014-09-27,Crystal Palace,Leicester,2.0,0.0,H,2014/2015
53,2014-09-27,Hull,Man City,2.0,4.0,A,2014/2015
54,2014-09-27,Liverpool,Everton,1.0,1.0,D,2014/2015
55,2014-09-27,Man United,West Ham,2.0,1.0,H,2014/2015
56,2014-09-27,Southampton,QPR,2.0,1.0,H,2014/2015
57,2014-09-27,Sunderland,Swansea,0.0,0.0,D,2014/2015
58,2014-09-28,West Brom,Burnley,4.0,0.0,H,2014/2015
59,2014-09-29,Stoke,Newcastle,1.0,0.0,H,2014/2015
60,2014-10-04,Aston Villa,Man City,0.0,2.0,A,2014/2015
61,2014-10-04,Hull,Crystal Palace,2.0,0.0,H,2014/2015
62,2014-10-04,Leicester,Burnley,2.0,2.0,D,2014/2015
63,2014-10-04,Liverpool,West Brom,2.0,1.0,H,2014/2015
64,2014-10-04,Sunderland,Stoke,3.0,1.0,H,2014/2015
65,2014-10-04,Swansea,Newcastle,2.0,2.0,D,2014/2015
66,2014-10-05,Chelsea,Arsenal,2.0,0.0,H,2014/2015
67,2014-10-05,Man United,Everton,2.0,1.0,H,2014/2015
68,2014-10-05,Tottenham,Southampton,1.0,0.0,H,2014/2015
69,2014-10-05,West Ham,QPR,2.0,0.0,H,2014/2015
70,2014-10-18,Arsenal,Hull,2.0,2.0,D,2014/2015
71,2014-10-18,Burnley,West Ham,1.0,3.0,A,2014/2015
72,2014-10-18,Crystal Palace,Chelsea,1.0,2.0,A,2014/2015
73,2014-10-18,Everton,Aston Villa,3.0,0.0,H,2014/2015
74,2014-10-18,Man City,Tottenham,4.0,1.0,H,2014/2015
75,2014-10-18,Newcastle,Leicester,1.0,0.0,H,2014/2015
76,2014-10-18,Southampton,Sunderland,8.0,0.0,H,2014/2015
77,2014-10-19,QPR,Liverpool,2.0,3.0,A,2014/2015
78,2014-10-19,Stoke,Swansea,2.0,1.0,H,2014/2015
79,2014-10-20,West Brom,Man United,2.0,2.0,D,2014/2015
80,2014-10-25,Liverpool,Hull,0.0,0.0,D,2014/2015
81,2014-10-25,Southampton,Stoke,1.0,0.0,H,2014/2015
82,2014-10-25,Sunderland,Arsenal,0.0,2.0,A,2014/2015
83,2014-10-25,Swansea,Leicester,2.0,0.0,H,2014/2015
84,2014-10-25,West Brom,Crystal Palace,2.0,2.0,D,2014/2015
85,2014-10-25,West Ham,Man City,2.0,1.0,H,2014/2015
86,2014-10-26,Burnley,Everton,1.0,3.0,A,2014/2015
87,2014-10-26,Man United,Chelsea,1.0,1.0,D,2014/2015
88,2014-10-26,Tottenham,Newcastle,1.0,2.0,A,2014/2015
89,2014-10-27,QPR,Aston Villa,2.0,0.0,H,2014/2015
90,2014-11-01,Arsenal,Burnley,3.0,0.0,H,2014/2015
91,2014-11-01,Chelsea,QPR,2.0,1.0,H,2014/2015
92,2014-11-01,Everton,Swansea,0.0,0.0,D,2014/2015
93,2014-11-01,Hull,Southampton,0.0,1.0,A,2014/2015
94,2014-11-01,Leicester,West Brom,0.0,1.0,A,2014/2015
95,2014-11-01,Newcastle,Liverpool,1.0,0.0,H,2014/2015
96,2014-11-01,Stoke,West Ham,2.0,2.0,D,2014/2015
97,2014-11-02,Aston Villa,Tottenham,1.0,2.0,A,2014/2015
98,2014-11-02,Man City,Man United,1.0,0.0,H,2014/2015
99,2014-11-03,Crystal Palace,Sunderland,1.0,3.0,A,2014/2015
100,2014-11-08,Burnley,Hull,1.0,0.0,H,2014/2015
101,2014-11-08,Liverpool,Chelsea,1.0,2.0,A,2014/2015
102,2014-11-08,Man United,Crystal Palace,1.0,0.0,H,2014/2015
103,2014-11-08,QPR,Man City,2.0,2.0,D,2014/2015
104,2014-11-08,Southampton,Leicester,2.0,0.0,H,2014/2015
105,2014-11-08,West Ham,Aston Villa,0.0,0.0,D,2014/2015
106,2014-11-09,Sunderland,Everton,1.0,1.0,D,2014/2015
107,2014-11-09,Swansea,Arsenal,2.0,1.0,H,2014/2015
108,2014-11-09,Tottenham,Stoke,1.0,2.0,A,2014/2015
109,2014-11-09,West Brom,Newcastle,0.0,2.0,A,2014/2015
110,2014-11-22,Arsenal,Man United,1.0,2.0,A,2014/2015
111,2014-11-22,Chelsea,West Brom,2.0,0.0,H,2014/2015
