Season,Team,Win,Draw,Loss,GF,GA,GD,Points,FinalRank
2014/2015,Man City,28,7,3,96.0,34.0,62.0,91,1
2014/2015,Arsenal,28,5,5,91.0,29.0,62.0,89,2
2014/2015,Liverpool,24,10,4,86.0,41.0,45.0,82,3
2014/2015,Aston Villa,20,8,10,76.0,61.0,15.0,68,4
2014/2015,Tottenham,20,6,12,74.0,61.0,13.0,66,5
2014/2015,Chelsea,18,9,11,77.0,63.0,14.0,63,6
2014/2015,Newcastle,18,6,14,85.0,62.0,23.0,60,7
2014/2015,Man United,18,6,14,57.0,58.0,-1.0,60,8
2014/2015,West Ham,14,10,14,60.0,74.0,-14.0,52,9
2014/2015,Crystal Palace,13,10,15,57.0,58.0,-1.0,49,10
2014/2015,Brighton,12,12,14,55.0,62.0,-7.0,48,11
2014/2015,Everton,13,9,16,40.0,51.0,-11.0,48,12
2014/2015,Bournemouth,13,9,16,54.0,67.0,-13.0,48,13
2014/2015,Fulham,13,8,17,55.0,61.0,-6.0,47,14
2014/2015,Wolves,13,7,18,50.0,65.0,-15.0,46,15
2014/2015,Brentford,10,9,19,56.0,65.0,-9.0,39,16
2014/2015,Nott'm Forest,9,9,20,49.0,67.0,-18.0,36,17
2014/2015,Luton,6,8,24,52.0,85.0,-33.0,26,18
2014/2015,Burnley,5,9,24,41.0,78.0,-37.0,24,19
2014/2015,Sheffield United,3,7,28,35.0,104.0,-69.0,16,20
2015/2016,Chelsea,26,9,3,73.0,32.0,41.0,87,1
2015/2016,Man City,24,7,7,83.0,38.0,45.0,79,2
2015/2016,Arsenal,22,9,7,71.0,36.0,35.0,75,3
2015/2016,Man United,20,10,8,62.0,37.0,25.0,70,4
2015/2016,Tottenham,19,7,12,58.0,53.0,5.0,64,5
2015/2016,Liverpool,18,8,12,52.0,48.0,4.0,62,6
2015/2016,Southampton,18,6,14,54.0,33.0,21.0,60,7
2015/2016,Swansea,16,8,14,46.0,49.0,-3.0,56,8
2015/2016,Stoke,15,9,14,48.0,45.0,3.0,54,9
2015/2016,Crystal Palace,13,9,16,47.0,51.0,-4.0,48,10
2015/2016,Everton,12,11,15,48.0,50.0,-2.0,47,11
2015/2016,West Ham,12,11,15,44.0,47.0,-3.0,47,12
2015/2016,West Brom,11,11,16,38.0,51.0,-13.0,44,13
2015/2016,Leicester,11,8,19,46.0,55.0,-9.0,41,14
2015/2016,Newcastle,10,9,19,40.0,63.0,-23.0,39,15
2015/2016,Sunderland,7,17,14,31.0,53.0,-22.0,38,16
2015/2016,Aston Villa,10,8,20,31.0,57.0,-26.0,38,17
2015/2016,Hull,8,11,19,33.0,51.0,-18.0,35,18
2015/2016,Burnley,7,12,19,28.0,53.0,-25.0,33,19
2015/2016,QPR,8,6,24,42.0,73.0,-31.0,30,20
2016/2017,Man City,28,5,5,94.0,33.0,61.0,89,1
2016/2017,Arsenal,26,6,6,88.0,43.0,45.0,84,2
2016/2017,Man United,23,6,9,58.0,43.0,15.0,75,3
2016/2017,Newcastle,19,14,5,68.0,33.0,35.0,71,4
2016/2017,Liverpool,19,9,9,71.0,43.0,28.0,66,5
2016/2017,Brighton,18,8,12,72.0,53.0,19.0,62,6
2016/2017,Aston Villa,18,7,13,51.0,46.0,5.0,61,7
2016/2017,Tottenham,18,6,14,70.0,63.0,7.0,60,8
2016/2017,Brentford,15,14,9,58.0,46.0,12.0,59,9
2016/2017,Fulham,15,7,16,55.0,53.0,2.0,52,10
2016/2017,Crystal Palace,11,12,15,40.0,49.0,-9.0,45,11
2016/2017,Chelsea,11,11,16,38.0,47.0,-9.0,44,12
2016/2017,Wolves,11,8,19,31.0,58.0,-27.0,41,13
2016/2017,West Ham,11,7,20,42.0,55.0,-13.0,40,14
2016/2017,Bournemouth,11,6,21,37.0,71.0,-34.0,39,15
2016/2017,Nott'm Forest,9,11,18,38.0,68.0,-30.0,38,16
2016/2017,Everton,8,12,18,34.0,57.0,-23.0,36,17
2016/2017,Leicester,9,7,22,51.0,68.0,-17.0,34,18
2016/2017,Leeds,7,10,21,48.0,78.0,-30.0,31,19
2016/2017,Southampton,6,6,25,32.0,69.0,-37.0,24,20
2016/2017,,0,0,0,0.0,0.0,0.0,0,21
2017/2018,Man City,29,6,3,99.0,26.0,73.0,93,1
2017/2018,Liverpool,28,9,2,98.0,30.0,68.0,93,2
2017/2018,Chelsea,21,11,6,76.0,33.0,43.0,74,3
2017/2018,Arsenal,22,3,13,61.0,48.0,13.0,69,4
2017/2018,Tottenham,21,5,11,64.0,40.0,24.0,68,5
2017/2018,Man United,16,10,12,57.0,57.0,0.0,58,6
2017/2018,West Ham,16,8,14,60.0,51.0,9.0,56,7
2017/2018,Leicester,14,10,14,62.0,59.0,3.0,52,8
2017/2018,Brighton,12,15,11,42.0,44.0,-2.0,51,9
2017/2018,Wolves,15,6,17,38.0,43.0,-5.0,51,10
2017/2018,Newcastle,13,10,15,44.0,62.0,-18.0,49,11
2017/2018,Crystal Palace,11,15,12,50.0,46.0,4.0,48,12
2017/2018,Brentford,13,7,18,48.0,56.0,-8.0,46,13
2017/2018,Aston Villa,13,6,19,52.0,54.0,-2.0,45,14
2017/2018,Southampton,9,14,16,47.0,71.0,-24.0,41,15
2017/2018,Everton,11,6,21,43.0,66.0,-23.0,39,16
2017/2018,Leeds,9,11,18,42.0,79.0,-37.0,38,17
2017/2018,Burnley,7,14,17,34.0,53.0,-19.0,35,18
2017/2018,Watford,6,5,27,34.0,77.0,-43.0,23,19
2017/2018,Norwich,5,7,25,23.0,79.0,-56.0,22,20
2018/2019,Man City,27,5,6,83.0,32.0,51.0,86,1
2018/2019,Man United,20,11,6,71.0,43.0,28.0,71,2
2018/2019,Liverpool,20,9,9,68.0,42.0,26.0,69,3
2018/2019,Chelsea,19,10,9,58.0,36.0,22.0,67,4
2018/2019,Leicester,20,6,12,68.0,50.0,18.0,66,5
2018/2019,Tottenham,19,8,12,73.0,45.0,28.0,65,6
2018/2019,West Ham,19,8,11,62.0,47.0,15.0,65,7
2018/2019,Arsenal,18,7,13,55.0,39.0,16.0,61,8
2018/2019,Leeds,18,5,15,62.0,54.0,8.0,59,9
2018/2019,Everton,17,8,13,47.0,48.0,-1.0,59,10
2018/2019,Aston Villa,16,7,15,55.0,46.0,9.0,55,11
2018/2019,Wolves,12,9,16,35.0,50.0,-15.0,45,12
2018/2019,Newcastle,12,9,17,46.0,62.0,-16.0,45,13
2018/2019,Crystal Palace,12,8,18,41.0,66.0,-25.0,44,14
2018/2019,Southampton,12,7,19,47.0,68.0,-21.0,43,15
2018/2019,Brighton,9,14,15,40.0,46.0,-6.0,41,16
2018/2019,Burnley,10,9,19,33.0,55.0,-22.0,39,17
2018/2019,Fulham,5,13,20,27.0,53.0,-26.0,28,18
2018/2019,West Brom,5,11,22,35.0,76.0,-41.0,26,19
2018/2019,Sheffield United,7,2,29,20.0,63.0,-43.0,23,20
2018/2019,Norwich,0,0,1,0.0,5.0,-5.0,0,21
2019/2020,Liverpool,32,3,3,85.0,33.0,52.0,99,1
2019/2020,Man City,26,3,9,102.0,35.0,67.0,81,2
2019/2020,Man United,19,12,8,68.0,37.0,31.0,69,3
2019/2020,Chelsea,20,6,12,69.0,54.0,15.0,66,4
2019/2020,Leicester,18,8,12,67.0,41.0,26.0,62,5
2019/2020,Tottenham,16,11,11,61.0,47.0,14.0,59,6
2019/2020,Wolves,15,14,10,52.0,42.0,10.0,59,7
2019/2020,Arsenal,14,14,10,56.0,48.0,8.0,56,8
2019/2020,Sheffield United,14,12,12,39.0,39.0,0.0,54,9
2019/2020,Burnley,15,9,14,43.0,50.0,-7.0,54,10
2019/2020,Southampton,15,7,16,51.0,60.0,-9.0,52,11
2019/2020,Everton,13,10,15,44.0,56.0,-12.0,49,12
2019/2020,Newcastle,11,11,16,38.0,58.0,-20.0,44,13
2019/2020,Crystal Palace,11,10,17,31.0,50.0,-19.0,43,14
2019/2020,Brighton,9,14,15,39.0,54.0,-15.0,41,15
2019/2020,West Ham,10,8,19,48.0,61.0,-13.0,38,16
2019/2020,Bournemouth,9,7,22,40.0,65.0,-25.0,34,17
2019/2020,Aston Villa,9,7,21,40.0,66.0,-26.0,34,18
2019/2020,Watford,8,10,20,36.0,64.0,-28.0,34,19
2019/2020,Norwich,5,6,27,26.0,75.0,-49.0,21,20
2020/2021,Man City,32,2,4,95.0,23.0,72.0,98,1
2020/2021,Liverpool,30,7,1,89.0,22.0,67.0,97,2
2020/2021,Chelsea,21,9,8,63.0,39.0,24.0,72,3
2020/2021,Tottenham,23,2,13,67.0,39.0,28.0,71,4
2020/2021,Arsenal,21,7,10,73.0,51.0,22.0,70,5
2020/2021,Man United,19,9,10,65.0,54.0,11.0,66,6
2020/2021,Wolves,16,9,13,47.0,46.0,1.0,57,7
2020/2021,Everton,15,9,14,54.0,46.0,8.0,54,8
2020/2021,Leicester,15,7,16,51.0,48.0,3.0,52,9
2020/2021,Watford,14,8,15,51.0,55.0,-4.0,50,10
2020/2021,West Ham,14,8,16,49.0,55.0,-6.0,50,11
2020/2021,Crystal Palace,14,7,17,51.0,53.0,-2.0,49,12
2020/2021,Newcastle,12,9,17,42.0,48.0,-6.0,45,13
2020/2021,Bournemouth,13,6,19,56.0,70.0,-14.0,45,14
2020/2021,Burnley,11,7,20,45.0,68.0,-23.0,40,15
2020/2021,Southampton,9,12,17,45.0,65.0,-20.0,39,16
2020/2021,Brighton,9,9,20,35.0,60.0,-25.0,36,17
2020/2021,Cardiff,10,4,24,34.0,69.0,-35.0,34,18
2020/2021,Fulham,7,5,26,34.0,81.0,-47.0,26,19
2020/2021,Huddersfield,3,7,28,22.0,76.0,-54.0,16,20
2020/2021,Aston Villa,0,1,0,1.0,1.0,0.0,1,21
2021/2022,Man City,32,4,2,106.0,27.0,79.0,100,1
2021/2022,Man United,25,6,7,68.0,28.0,40.0,81,2
2021/2022,Tottenham,23,8,7,74.0,36.0,38.0,77,3
2021/2022,Liverpool,21,12,5,84.0,38.0,46.0,75,4
2021/2022,Chelsea,21,7,10,62.0,38.0,24.0,70,5
2021/2022,Arsenal,19,6,13,74.0,51.0,23.0,63,6
2021/2022,Burnley,14,12,12,36.0,39.0,-3.0,54,7
2021/2022,Everton,13,10,14,43.0,55.0,-12.0,49,8
2021/2022,Leicester,12,11,15,56.0,60.0,-4.0,47,9
2021/2022,Newcastle,12,8,18,39.0,47.0,-8.0,44,10
2021/2022,Crystal Palace,11,11,16,45.0,55.0,-10.0,44,11
2021/2022,Bournemouth,11,11,16,45.0,61.0,-16.0,44,12
2021/2022,West Ham,10,12,16,49.0,68.0,-19.0,42,13
2021/2022,Watford,11,8,20,45.0,68.0,-23.0,41,14
2021/2022,Brighton,9,13,16,34.0,54.0,-20.0,40,15
2021/2022,Huddersfield,9,10,19,28.0,58.0,-30.0,37,16
2021/2022,Southampton,7,15,16,37.0,56.0,-19.0,36,17
2021/2022,Swansea,8,9,21,28.0,56.0,-28.0,33,18
2021/2022,Stoke,7,12,19,35.0,68.0,-33.0,33,19
2021/2022,West Brom,6,13,19,31.0,56.0,-25.0,31,20
2022/2023,Chelsea,30,3,5,85.0,33.0,52.0,93,1
2022/2023,Tottenham,26,8,4,86.0,26.0,60.0,86,2
2022/2023,Liverpool,22,10,6,78.0,42.0,36.0,76,3
2022/2023,Man City,22,9,6,75.0,39.0,36.0,75,4
2022/2023,Arsenal,23,6,9,77.0,44.0,33.0,75,5
2022/2023,Man United,18,15,5,54.0,29.0,25.0,69,6
2022/2023,Everton,17,10,12,63.0,47.0,16.0,61,7
2022/2023,West Ham,13,9,17,50.0,65.0,-15.0,48,8
2022/2023,Southampton,12,10,16,41.0,48.0,-7.0,46,9
2022/2023,Bournemouth,12,10,16,55.0,67.0,-12.0,46,10
2022/2023,West Brom,12,9,17,43.0,51.0,-8.0,45,11
2022/2023,Leicester,12,8,18,48.0,63.0,-15.0,44,12
2022/2023,Stoke,11,11,16,41.0,56.0,-15.0,44,13
2022/2023,Crystal Palace,12,5,21,50.0,63.0,-13.0,41,14
2022/2023,Swansea,12,5,21,45.0,70.0,-25.0,41,15
2022/2023,Burnley,11,7,20,39.0,55.0,-16.0,40,16
2022/2023,Watford,11,7,19,40.0,63.0,-23.0,40,17
2022/2023,Hull,9,7,22,37.0,80.0,-43.0,34,18
2022/2023,Middlesbrough,5,13,20,27.0,53.0,-26.0,28,19
