,Season,Team,Win,Draw,Loss,GF,GA,Points,GD
3,2014/2015,Chelsea,26,9,3,73.0,32.0,87,41.0
9,2014/2015,Man City,24,7,7,83.0,38.0,79,45.0
0,2014/2015,Arsenal,22,9,7,71.0,36.0,75,35.0
10,2014/2015,Man United,20,10,8,62.0,37.0,70,25.0
17,2014/2015,Tottenham,19,7,12,58.0,53.0,64,5.0
8,2014/2015,Liverpool,18,8,12,52.0,48.0,62,4.0
13,2014/2015,Southampton,18,6,14,54.0,33.0,60,21.0
16,2014/2015,Swansea,16,8,14,46.0,49.0,56,-3.0
14,2014/2015,Stoke,15,9,14,48.0,45.0,54,3.0
4,2014/2015,Crystal Palace,13,9,16,47.0,51.0,48,-4.0
5,2014/2015,Everton,12,11,15,48.0,50.0,47,-2.0
19,2014/2015,West Ham,12,11,15,44.0,47.0,47,-3.0
18,2014/2015,West Brom,11,11,16,38.0,51.0,44,-13.0
7,2014/2015,Leicester,11,8,19,46.0,55.0,41,-9.0
11,2014/2015,Newcastle,10,9,19,40.0,63.0,39,-23.0
1,2014/2015,Aston Villa,10,8,20,31.0,57.0,38,-26.0
15,2014/2015,Sunderland,7,17,14,31.0,53.0,38,-22.0
6,2014/2015,Hull,8,11,19,33.0,51.0,35,-18.0
2,2014/2015,Burnley,7,12,19,28.0,53.0,33,-25.0
12,2014/2015,QPR,8,6,24,42.0,73.0,30,-31.0
26,2015/2016,Leicester,23,12,3,68.0,36.0,81,32.0
20,2015/2016,Arsenal,20,11,7,65.0,36.0,71,29.0
36,2015/2016,Tottenham,19,13,6,69.0,35.0,70,34.0
28,2015/2016,Man City,19,9,10,71.0,41.0,66,30.0
29,2015/2016,Man United,19,9,10,49.0,35.0,66,14.0
32,2015/2016,Southampton,18,9,11,59.0,41.0,63,18.0
39,2015/2016,West Ham,16,14,8,65.0,51.0,62,14.0
27,2015/2016,Liverpool,16,12,10,63.0,50.0,60,13.0
33,2015/2016,Stoke,14,9,15,41.0,55.0,51,-14.0
23,2015/2016,Chelsea,12,14,12,59.0,53.0,50,6.0
25,2015/2016,Everton,11,14,13,59.0,55.0,47,4.0
35,2015/2016,Swansea,12,11,15,42.0,52.0,47,-10.0
37,2015/2016,Watford,12,9,17,40.0,50.0,45,-10.0
38,2015/2016,West Brom,10,13,15,34.0,48.0,43,-14.0
22,2015/2016,Bournemouth,11,9,18,45.0,67.0,42,-22.0
24,2015/2016,Crystal Palace,11,9,18,39.0,51.0,42,-12.0
34,2015/2016,Sunderland,9,12,17,48.0,62.0,39,-14.0
30,2015/2016,Newcastle,9,10,19,44.0,65.0,37,-21.0
31,2015/2016,Norwich,9,7,22,39.0,67.0,34,-28.0
